Bureau of Justice Statistics,,,,,,,,,,,
File name: p15at03.csv,,,,,,,,,,,
"Appendix Table 3. Prisoners under the jurisdiction of state or federal correctional authorities, by race and Hispanic origin, December 31, 2015",,,,,,,,,,,
"Report title: Prisoners in 2015,  NCJ 250229",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Prisoner Statistics, 2015",,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician,  Elizabeth Anderson, BJS Intern",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version: 12/29/2016,,,,,,,,,,,
,,,,,,,,,,,
"Appendix Table 3. Prisoners under the jurisdiction of state or federal correctional authorities, by race and Hispanic origin, December 31, 2015",,,,,,,,,,,
Jurisdiction,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/ Other Pacific Islander/a,Two or more races/a,Other/a,Not known,Did not report
"Federal/b,c","196,455","53,191","72,857","64,219","3,458","2,729",/,~,/,/,0
Alabama,"30,810","13,393","17,284",0,1,2,0,0,0,130,0
Alaska,"5,338","2,470",531,149,"1,919",165,59,~,0,45,0
Arizona,"42,719","16,733","5,863","17,013","2,223",170,0,0,628,13,76
Arkansas,"17,707","9,538","7,516",532,49,55,3,0,12,2,0
California,"129,593","28,119","37,098","55,127","1,398","1,255",307,0,"6,289",0,0
Colorado,"20,168","9,253","3,643","6,348",592,205,/,/,/,0,127
Connecticut,"15,816","5,214","6,462","4,011",43,84,0,0,0,2,0
Delaware,"6,654","2,670","3,694",281,0,0,7,0,0,2,0
Florida,"101,424","48,153","48,684","4,142",93,18,0,0,320,14,0
Georgia,"52,193","18,056","31,884","1,994",23,172,1,54,/,9,0
Hawaii,"5,879","1,398",260,154,26,"1,024","2,659",~,0,358,0
Idaho,"8,052","6,066",219,"1,258",298,31,0,/,0,180,0
Illinois,"46,240","13,568","26,576","5,833",67,168,/,/,0,28,0
Indiana,"27,355","16,741","9,180","1,181",55,65,9,91,0,33,0
Iowa,"8,849","5,804","2,232",577,163,73,0,0,0,0,0
Kansas,"9,857","5,578","2,874","1,109",185,94,0,0,1,16,0
Kentucky,"21,701","16,350","4,807",278,17,31,0,198,~,16,4
Louisiana,"36,377","11,596","24,629",47,20,40,43,0,2,0,0
Maine,"2,279","1,891",175,101,62,12,1,14,0,23,0
Maryland/d,"20,764","5,375","14,156",637,88,47,14,/,248,36,163
Massachusetts,"9,922","4,374","2,729","2,518",62,131,2,0,106,0,0
Michigan/d,"42,628","18,759","22,811",426,386,111,2,0,0,133,0
Minnesota,"10,798","4,956","3,768",759,"1,028",276,/,/,/,11,0
Mississippi,"18,911","6,404","12,294",142,29,37,0,0,0,5,0
Missouri,"32,330","20,223","11,329",530,120,65,/,/,/,63,0
Montana/b,"3,685","2,736",93,0,844,12,0,0,0,0,0
Nebraska,"5,372","2,969","1,414",687,219,42,5,/,26,10,0
Nevada/e,"13,692",/,/,/,/,/,/,/,/,/,/
